Name,Type,Enabled,Source
British English Dictionary (Marco Pinto),dictionary,TRUE,https://addons.mozilla.org/en-US/firefox/addon/british-english-dictionary-2/
Dictionnaire français,dictionary,TRUE,https://addons.mozilla.org/en-US/firefox/addon/dictionnaire-fran%C3%A7ais1/
English United States Dictionary,dictionary,TRUE,https://addons.mozilla.org/en-US/firefox/addon/us-english-dictionary/
CodeCopy,extension,TRUE,https://github.com/zenorocha/codecopy
IndicateTLS,extension,TRUE,https://github.com/jannispinter/indicatetls
600% Sound Volume,extension,TRUE,https://github.com/autonome/Always-Right/
Bitwarden - Free Password Manager,extension,TRUE,https://bitwarden.com/
ClearURLs,extension,TRUE,https://gitlab.com/KevinRoebert/ClearUrls
Disable WebRTC,extension,TRUE,https://github.com/ChrisAntaki/disable-webrtc-firefox
Facebook Container,extension,TRUE,https://github.com/mozilla/contain-facebook
Firefox Multi-Account Containers,extension,TRUE,https://github.com/mozilla/multi-account-containers
Flagfox,extension,TRUE,https://flagfox.wordpress.com/
FrankerFaceZ,extension,TRUE,http://frankerfacez.com/
Gitako - GitHub file tree,extension,TRUE,https://github.com/EnixCoda/Gitako/
Google Container,extension,TRUE,https://github.com/containers-everywhere/contain-google
Grammalecte [fr],extension,TRUE,https://grammalecte.net
HTTPS Everywhere,extension,TRUE,https://www.eff.org/https-everywhere
JavaScript Toggle On and Off,extension,TRUE,https://add0n.com/javascript-toggler.html
Librefox Reload/Refresh Button Url Bar,extension,TRUE,https://addons.mozilla.org/en-US/firefox/addon/librefox-reload-button-url-bar/
OneTab,extension,TRUE,https://www.one-tab.com/
Refined GitHub,extension,TRUE,https://github.com/sindresorhus/refined-github
Return YouTube Dislike,extension,TRUE,https://www.returnyoutubedislike.com/
Stylus,extension,TRUE,https://github.com/openstyles/stylus
uBlock Origin,extension,TRUE,https://github.com/gorhill/uBlock#ublock-origin
Violentmonkey,extension,TRUE,https://violentmonkey.github.io/
OctoLinker,extension,FALSE,https://octolinker.github.io/
Open Graph Preview,extension,FALSE,https://addons.mozilla.org/en-US/firefox/addon/open-graph-preview-and-debug/
Proxy SwitchyOmega,extension,FALSE,https://github.com/FelisCatus/SwitchyOmega
Wappalyzer - Technology profiler,extension,FALSE,https://github.com/AliasIO/Wappalyzer
Arc Dark Theme,theme,TRUE,https://addons.mozilla.org/en-US/firefox/addon/arc-dark-theme-we/
Arc Darker Theme,theme,FALSE,https://addons.mozilla.org/en-US/firefox/addon/arc-darker-theme-we/
